,Unnamed: 0,0,sentiment
253,253,pipen go to jordan much respect doug ask doug come retirement coach played washington good video overall,positive
256,256,let honest shot back pas,positive
257,257,yo neymar sunny innit,positive
259,259,30p play basketball game long since went arcade got back blackpool lucky get game le pound now mind honest,positive
261,261,sunny innit dude,positive
262,262,i love lucy bronze much,positive
263,263,elite defender wing occasionally 4 position payton monster,positive
265,265,he even top 5 nba today ask anyone know game 90 mental 10 physical today sport way feminine way focused aesthetic,positive
268,268,what every nba player ultimate goal getting nba win nba championship mean mvp,positive
269,269,so telling michael jordan best 3 defender ever position lebron every year lebron half championship,positive
272,272,people get misunderstanding better talented,positive
273,273,i remember knoblauch quite clearly well definitely yip nnif ever seen movie major league 2,positive
274,274,yo ney sunny innit,positive
275,275,well small man back back mvp,positive
276,276,how possible wa sshe ncaa title game like month ago,positive
277,277,more basketball awesome job sister aliyah coach staley,positive
279,279,certain thing like what,positive
281,281,i love everyone talk love california,positive
283,283,ron harper great defender,positive
286,286,best footballer world zlatan nothing him,positive
293,293,these two love them,positive
296,296,see truth appear shalom,positive
298,298,everything online highlight highlight u200d,positive
299,299,they sweet little girl it cutest thing ever,positive
303,303,love kind debate,positive
305,305,beckham ability speak ball,positive
307,307,got lot respect czinano game hope get cut,positive
309,309,keira look like alyson hannigan american pie,positive
310,310,never fail put smile face,positive
312,312,good job wnba angel reese,positive
321,321,i saying year bron using enhanced drug lady confirmed initial package receiving 3 year nba downplayed cause still face league truth come retires,positive
324,324,child always cute tony cuenca,positive
325,325,rice look like foden,positive
328,328,talented player,positive
330,330,fifa 19 rice look like foldant,positive
332,332,i like markelle im rooting come back strong,positive
334,334,lsu game want see good guard play dude wait tell next season lsu show you ok,positive
335,335,knight went wanting jordan team calling best ever saw even entered league crazy,positive
337,337,shine m scott shine soooo britebeautifuls playing game,positive
338,338,lucy come across cool normal person proper footballer too,positive
341,341,little know hed also 100m player well,positive
351,351,fun,positive
353,353,awesome,positive
354,354,such amazing weather today,positive
357,357,grounded young person it easy root kid best luck whatever decide life,positive
358,358,curry win also impact metric shown best isolation play warrior steph curry shot year,positive
360,360,ok,positive
361,361,you guy best team seen life,positive
369,369,kim mulkeys son one son play mlb,positive
371,371,hope sign anotha team whoop lynx ahh,positive
372,372,why jordan beg barkley join wizard,positive
376,376,grey cup world series,positive
378,378,make sure caitlin clark go la spark,positive
379,379,jordan impact worldwide felt way better lebrons,positive
384,384,really attracted english premiere league reason behind scene one david beckham like maradona english team proved motivational part game english team fantastic player wa,positive
385,385,jack definitely like leah,positive
388,388,would nba champion doubter,positive
390,390,i love lucy much amazing,positive
392,392,great,positive
393,393,watching live like seeing snl skit,positive
394,394,curry best player warrior,positive
395,395,humble articulate professional basketball player ever seenalong wilt bill russel saw prime like think mine fairly educated guess opinion second,positive
396,396,just finished rewatching chicago bull 91 championship run scottie pippen wasis best defensive player history play 8 total team russell,positive
397,397,well happen bron thing championship mvp,positive
399,399,oh sweet aswell shh,positive
411,411,doe grow journalist surely talent it interest,positive
412,412,marina rfa hopefully sign elsewhere guaranteed point guard spotarike become better team player dallas franchise doomed thru life contract 7 23 field night occur way oftenshe 6th player bench coach put therecolier overrated college simply horrible pick draftnext coach need sabally healthy mccowan starting every game endurance part wa demand improve ft 5 year watching team mishandle management coaching tighten up,positive
414,414,i thought team futurethe guy challenge kobe underacheived careerno defense no consultant effortmcgrady favorite take game underacheived truth kd would win close e one,positive
417,417,i going ask lebron best league come mvp last two season,positive
419,419,we love han xu,positive
421,421,effective going right,positive
422,422,coj interesting indirectly saying lbj great able beat someone size offensive game great green great iggy getting credit better defensive player since slowing lbj down fact final mvp lbj later kd able too usually gifted offensive player still score someone great defensive skill even face best themselves,positive
423,423,priceless beautiful humble,positive
424,424,this legit friendship goal,positive
425,425,she got bright future behind her,positive
426,426,congratulation idol fr philippine,positive
428,428,all le bron stans make million one excuse happened happen fact provided video explain reason jordan better le bron le bron stans refuse acknowledge this,positive
429,429,well,positive
433,433,portland also lowno tax iirc worse position nba making million pac northwest also lot venture capitalist area country well court opportunity money well,positive
436,436,wow amazing,positive
437,437,declan 100m pound mate look ya 105m pound lol,positive
441,441,otherwise jordan would clearly better magic johnson 8790,positive
449,449,jack nose treble celebration party would great answer q2,positive
450,450,she getting real good look out,positive
451,451,i big alexis morris fan,positive
452,452,lakers going win championship season matter,positive
455,455,hempo playing table tennis,positive
458,458,look like excitement totally left,positive
464,464,leah seems like nice person,positive
465,465,winning steal title averaging 32,positive
466,466,im even 30 even remember great tmac mid 2000s remember team tmac like 20 game row would close,positive
468,468,give man knighthood one favorite game call ever,positive
472,472,haha,positive
475,475,got ta get player play better defense game line,positive
478,478,nothing wrong this,positive
480,480,got help support medium,positive
482,482,like dallas im candace parker fan first,positive
484,484,tmac would win,positive
485,485,need see stanway toone contemporary dance haha,positive
486,486,charles barkley got greatest team everbut worked hard get contract year,positive
495,495,han xu amazing player big fast,positive
498,498,any player score 41 point allowed referee crew allow push every time ball,positive
501,501,it gon na great see ayoka back court,positive
502,502,party ring genius,positive
504,504,you convince wasnt high that,positive
509,509,sunny innit,positive
510,510,woah vicky play sport,positive
511,511,daly dose brightness bahahahahaha,positive
512,512,shes adorable go han xu,positive
514,514,love them world cup possible,positive
515,515,i love much,positive
516,516,aight men peace keep dropping gem food thought,positive
517,517,love,positive
518,518,leah beautiful,positive
519,519,love reading comment,positive
522,522,stephen curry nnwhat following year 202023 consistent true 3 year,positive
523,523,even though divorcethey still put kid 1stsome u black folk act like raised kid operate cause union longerbut union still kid born within it,positive
524,524,team systemperiod obvious one talk day analytics statslike number 3 made eating cheetos watching friend example kidding,positive
525,525,i mean disrespect why south cak southern cal wouldve first option shes american player whose number going go tremendously cause someone play position style reese 2 overall recruit mikaylah williams sec freshman year flau american hailey van lith bench two starter caliber guard poa poole talented bigs smith rosario guess shes going winning though,positive
533,533,why ask play defense,positive
534,534,im taking gsw tor win chip without kd cant win chip without kd klay get it kd would never respected ring attained golden state,positive
538,538,can day life whole squad please,positive
539,539,college really b beast get better physical condition,positive
540,540,we need much love millie rach,positive
543,543,there many example show mj greater lebron medium dont bring dynamic point,positive
545,545,blocking 16 shot per game also managed 80 assist 80 rebound somebody like lebron could never focus offense defense level season,positive
547,547,lol,positive
549,549,love it,positive
550,550,nice see two wnba team faced final four great stuff,positive
551,551,arguably best player last 10 year,positive
552,552,super congratsnthats im talking aboutngraduation,positive
553,553,hopefully dont annoy many people we do love 2,positive
554,554,420 450 lmao,positive
555,555,im old bahahahahah love lucy,positive
557,557,the wheezing laughter immediately lingard said you alright neymar sunny innit dead made ten time funnier,positive
560,560,pilar seems really love kid went little back day hopefully recuperated,positive
562,562,congratulation wsu wbb team ill definitely rooting tournament beyond,positive
566,566,lebron james 10th alltime great list dude damn overrated yup,positive
567,567,thank supporting channelnnhttpswwwpaypalmechroniclesofjudah144nncash app chroniclesofjudah144nnhttpswwwpatreoncomchroniclesofjudah144nnpeace brothas please keep mind uploading 1540 exclusive video per month patreon site choose pledge order see video,positive
568,568,top 30 lol nah 1 1 top 35,positive
571,571,cooper one great perimeter defender ron artest run indiana,positive
572,572,lmao,positive
576,576,he calling jr laughing stock nba,positive
578,578,zia gorgeous,positive
579,579,lakers work harder defense carry lebrons load he standing corner,positive
580,580,i care whose son hvl jing butt up,positive
581,581,leeds united,positive
585,585,the player cut could play 4 usajust thought,positive
587,587,sure like role phil wanting jordan get team involved doug let jordan wanted great chemistry two jordan grew appreciate phil jackson scotti pipen may something due ability mesh jordan well one smoother thing player would get upset jordan,positive
589,589,another paid puppet behind confusion good commentary cj,positive
590,590,my fave part hemp bronze ignoring shooting hoop hahahah,positive
593,593,shit best player country,positive
595,595,perimeter game developed game like 198990 became great mid long range pippen perimeter game either like 1991 nnconcerning isiah thomas v jordan great rivalry wish jealousy yet great rivalry piston made right move personnelwise 1991 thomas stayed wrist injury lot change could made prolong great match ups 90 nndoug collins could hold yet always made team better repair crappy team collins good taking stupid young team making contender,positive
600,600,i love lioness favs toone williamson russo jill scott,positive
601,601,popular topic 333 view day,positive
603,603,will starting lineup nobody care,positive
604,604,when villain play victim yall talked smack whole season leaned super team narrative,positive
608,608,lmao called jit,positive
610,610,chasing money cant say blame her,positive
613,613,proud mancunian here love two,positive
614,614,shes sooo cute better josh loved top fearlessness bring back world,positive
615,615,on cool many 2 guard dropped 25 30 pt jordan think many any,positive
618,618,i love energy nbut npracticing travel every shot,positive
620,620,really glad coach green illinois go illini,positive
623,623,monika seriously wrong 1975n love new hair style zias got good personality nice get shadow aaliyah bostonnothing m,positive
624,624,bee england ask prez help bi already,positive
630,630,must protected cost,positive
631,631,liberty ace final let go,positive
632,632,aye congrats,positive
636,636,on declan rice first fifa card look like thogdena football youtuber,positive
638,638,klay better shooter curry,positive
641,641,nice see guy make laugh,positive
642,642,weird hearuntil know fultz actually enjoy bmx biking putting 2 2 together likely lil much fun bike summer he coming clean team cuz think would void contract cuz alot contract wording prohibits person anything dangerouslike bmx biking skateboarding,positive
643,643,ahh man reaction hilarious,positive
644,644,great point kobe even better gone college kobe phenomenal overall 0304 season,positive
645,645,nice see u remember ben wallacei always wonder never come matter never hear word abt piston line news segmentits like want u forget ever happened,positive
646,646,ferocious like comet,positive
648,648,what nice,positive
649,649,yeah thats you laughed well,positive
650,650,what breath fresh air show is,positive
651,651,seems lovely person talented,positive
652,652,curry missed significant time dub never 60 game durant missed time 2017 warrior 67 game nthe greatest judgement skillset translates making look good make teammate better,positive
654,654,charming laidback,positive
655,655,love judah video ive seen pure greatness kobe bryant biggest game 2000 final game 4and lebron im waiting screw doe,positive
659,659,this team going bring heat congratulation lady there,positive
661,661,just two distinguished gentleman shaking hand,positive
663,663,great point judah philadelpia 76ers could let go markelle fultz showing loyalty himxa0 good point busniness personal relationship people cant get anything cut off,positive
664,664,glad ok brother,positive
666,666,well ad play season need another player play defense score likekyrie furthermore,positive
671,671,ayo neymar it sunny innit,positive
672,672,6rings easy,positive
675,675,iam glad came play 2001 jordan nation hurting 911 like beatles 1964 month later assassination jfk way help moment stop tear,positive
679,679,nonand ill give one reason lebron career average free throw shooter 8 average season 8 average season giving career average total jordan never one average season line lowest season free throw percentage higher lbj highest also james time leader playoff turnover pace time leader turnover next 2 season ok said one reason,positive
680,680,i would answered questioned same call self confidence,positive
681,681,wwe fan alert 706,positive
682,682,rachel nichols come one chick extremely adroit field giving fellatio,positive
684,684,the league lost talented defensive player beautiful woman,positive
687,687,here come champion made laugh hard jill got funniest ever be,positive
689,689,i know im late kd going back warrior bob myers said draymond calling bch respect leaving draymond need learn cant get away type antic mouth reason warrior lost cavs 2016 first place,positive
691,691,rice gold silver card look like phill foden xd,positive
693,693,the big smile face get ground say baller,positive
695,695,judah stephen curry able win year mvp look likely move ahead kobe top 1215 range 3 x mvp thats magic johnson larry bird moses malone area kareem 6 mj russell 5 lebron dr j abanba wilt 4 magic bird moses 3 also 3 title help prove curry heading top 12 spot best,positive
698,698,alright haley van lith playing one one coach kim mulcheys son way 2 go there thats great basketball playing practicing haley know played one one w father guy friend too thats good got coach mulcheys son practice hoop too awesome go lady tiger lsu player haley van lith,positive
699,699,it time new celebration it like saying ronaldo need new celebration,positive
700,700,shed right top old school center many around,positive
702,702,lmaooo cooking as look like female melo there,positive
703,703,sprint court make basket nearly perfect center need patient let game develop,positive
704,704,lol yo shannon voice best ever lol ik hate u,positive
707,707,nah dis funnnyy duo funny,positive
709,709,wow actually putting work instead hanging buying earring hope see level brother angel reese,positive
712,712,thanks update ayoka great mn connection,positive
713,713,beautiful,positive
714,714,russell westbrick lol,positive
717,717,if aint flash gun would yall care lit club,positive
723,723,let go liberty,positive
724,724,natty ready,positive
725,725,they gorgeous,positive
732,732,shes cool,positive
733,733,congratulation,positive
735,735,maybe shell get drafted lynx hopeful thought great comeback season,positive
737,737,jack play fifa do,positive
739,739,she national treasure,positive
741,741,dont get wait it comming promise love lucy bronze idol,positive
742,742,excellent shooteryou go girlpilar sooo coolplease add content her,positive
745,745,easy team room ayoka lee sometimes big girl ranked high enough ayoka lee transferred,positive
746,746,love wbb journalism thanks reporting,positive
749,749,this love england football team boy girl woman menu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007fu000e0067u000e0062u000e0065u000e006eu000e0067u000e007f uncle aunt cuz brother sister british niece going lioness future u000e0067u000e0062u000e0065u000e006eu000e0067u000e007f,positive
750,750,nothing ever take place good old fashioned scouting evaluating player yeah,positive
753,753,whats great lebrons game again nobody play defense handle absolutely pg nbiggest guy court cry call first chip pussy,positive
758,758,this good video good analysis thanks mate,positive
761,761,big guy think way around doug phil jordan loved doug collins thrilled phil taking team,positive
762,762,aool theeee best english,positive
766,766,let celebrate ace,positive
767,767,behind fall every great man normally woman big fact coj,positive
770,770,very nice catch gather important,positive
776,776,england best team world,positive
777,777,love brea bealwe see again,positive
778,778,i think hailey could play point pelican place cj,positive
779,779,said helped kd win chip opposing team,positive
780,780,lucy keira playing video game,positive
782,782,absolute champion,positive
787,787,vince domonic best dunker history nba,positive
788,788,consistently miss point kd gsw gsw without kd year final prove need kd win klay went game 6 reason believe continued ride momentum complete comeback force game 6 game 7,positive
790,790,something medium never done curry always go extreme judging play secondly talent never major parameter determining best player world,positive
791,791,put beer dude lsu mop pmac face want even close gon na waiting as,positive
794,794,something could pop damn second thanks,positive
797,797,aneesah morrow beast think better player angel reese shoot anywhere court rebound like crazy definitely fit well lsu hopefully repeat next year,positive
799,799,nice,positive
803,803,one unanimous think fair expect steph,positive
805,805,great mention judah,positive
817,817,i wonder mom play ball level pass kinda crisp,positive
818,818,pay pound watch play game,positive
